formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C5H11NO2	[M + H]+	C5H12NO2+	Amino acids and Peptides	0.475	Small peptides	0.611	Aminoacids	0.617	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.999	Quaternary ammonium salts	0.712	Tetraalkylammonium salts	0.750	Tetraalkylammonium salts	0.750	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Quaternary ammonium salts; Carbonyl compounds; Amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	118.086	12	0.200	625933028212421276	625930710855232932	284	
1	C4H10ClNO3	[M + H]+	C4H11ClNO3+	Fatty acids	0.843	Fatty Acids and Conjugates	0.268	Halogenated fatty acids	0.819	Organohalogen compounds	0.918	Alkyl halides	0.622	Alkyl chlorides	0.590			Alkyl chlorides	0.590	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl chlorides; Organochlorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	156.042	15	0.245	625933039860005922	625930735270278241	633	
1	C2H3N3S	[M + H]+	C2H4N3S+	Alkaloids	0.595	Histidine alkaloids	0.640	Imidazole alkaloids	0.631	Organoheterocyclic compounds	1.000	Azoles	0.994	Thiadiazoles	0.768			Thiadiazoles	0.768	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organonitrogen compounds; Azoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	102.013	15	0.254	625933041684528970	625930702705699710	171	
1	C3H6N2O4S	[M + H]+	C3H7N2O4S+	Amino acids and Peptides	0.583	Small peptides	0.407	Aminoacids	0.244	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.990					Organonitrogen compounds	0.990	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	167.013	21	0.342	625933038324890257	625930741154887208	730	
1	CH3NO5	[M + H]+	CH4NO5+	Amino acids and Peptides	0.452	Small peptides	0.387	Halogenated fatty acids	0.573	Organic 1,3-dipolar compounds	0.811	Allyl-type 1,3-dipolar organic compounds	0.816	Organic nitro compounds	0.814	C-nitro compounds	0.700	C-nitro compounds	0.700	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	110.009	21	0.355	625933045627175925	625930705847233616	213	
1	C3H6N2O5	[M + H]+	C3H7N2O5+	Amino acids and Peptides	0.508	Small peptides	0.459	Halogenated fatty acids	0.499	Organic 1,3-dipolar compounds	0.677	Allyl-type 1,3-dipolar organic compounds	0.629	Organic nitro compounds	0.647			Organic nitro compounds	0.647	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Carboxylic acids; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	151.036	21	0.355	625933027830739441	625930732204241782	586	
1	C3H3ClN2O2S2	[M + H]+	C3H4ClN2O2S2+	Alkaloids	0.337	Histidine alkaloids	0.253	Imidazole alkaloids	0.248	Organohalogen compounds	0.995	Aryl halides	0.817	Aryl chlorides	0.785			Aryl chlorides	0.785	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Sulfonyl halides; Aryl chlorides; Sulfonyl chlorides; Sulfonyls; Organochlorides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	198.940	23	0.380	625933047124543228	625930758812908488	1021	
1	C11H8O5	[M + H]+	C11H9O5+	Shikimates and Phenylpropanoids	0.868	Coumarins	0.822	Simple coumarins	0.455	Organoheterocyclic compounds	0.895	Benzopyrans	0.680					Benzopyrans	0.680	Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acids; Benzenoids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	221.043	26	0.438	625933051314654861	625930770779258760	1220	
1	C5H13NO	[M + H]+	C5H14NO+	Fatty acids	0.842	Spingolipids	0.037	Sphingoid bases	0.243	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Quaternary ammonium salts	0.922	Tetraalkylammonium salts	0.745	Tetraalkylammonium salts	0.745	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Quaternary ammonium salts; Amines; Alkanolamines; Organic cations; Organic salts; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	104.107	27	0.456	625933052216430794	625930703699749818	183	
2	C23H19ClN2O3S	[M + H]+	C23H20ClN2O3S+	Alkaloids	0.455	Tryptophan alkaloids	0.389	Benzodiazepine alkaloids	0.028	Organosulfur compounds	0.774	Thioethers	0.807	Aryl thioethers	0.563			Aryl thioethers	0.563	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	439.088	29	0.482	625933053034320495	625930873766208241	3086	
